request_id,problem_id,family,layer,length,split,reached_eos
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,28,test,True
070335b9744877b8b99b2c4c,iterative-00000,iterative_state_machine,1,28,test,True
a346ce202bd189fe6f1f08f1,iterative-00000,iterative_state_machine,2,28,test,True
a4ecf2db647388928191109e,iterative-00000,iterative_state_machine,3,28,test,True
9cfce6afcc16c70e8b07aaeb,ontology-00000,fictional_ontology,0,29,calibration,True
e9f3b658c2ec680cddc518e2,ontology-00000,fictional_ontology,1,29,calibration,True
182abc451f6c6fad92751644,ontology-00000,fictional_ontology,2,29,calibration,True
baa6f66d049263e44a86098f,ontology-00000,fictional_ontology,3,29,calibration,True
8d9ab915c884decc2b09a822,dependency-00000,dependency_graph,0,30,calibration,True
5aed7efb5e48668e7f3f59fd,dependency-00000,dependency_graph,1,30,calibration,True
144f25d35e4429b219365473,dependency-00000,dependency_graph,2,30,calibration,True
86aab684d60b75601159cb48,dependency-00000,dependency_graph,3,30,calibration,True
1aa3f52259a1e2b427c00d3c,iterative-00001,iterative_state_machine,0,31,calibration,True
e924c81556dc85c39f0cbe95,iterative-00001,iterative_state_machine,1,31,calibration,True
7bb8eb593186f54fd607d810,iterative-00001,iterative_state_machine,2,31,calibration,True
9032137bcd510f01bd5090f0,iterative-00001,iterative_state_machine,3,31,calibration,True
1f666df1f6ec10544d07a408,ontology-00001,fictional_ontology,0,32,calibration,True
fa2204e0351c9373e98b6103,ontology-00001,fictional_ontology,1,32,calibration,True
9276506c54a9edc76c114329,ontology-00001,fictional_ontology,2,32,calibration,True
f2ae7087ba3ca07560d59279,ontology-00001,fictional_ontology,3,32,calibration,True
92cfc89eb9267c2c7a9f9d31,dependency-00001,dependency_graph,0,33,calibration,True
d6c8f9b738a7e327beda3066,dependency-00001,dependency_graph,1,33,calibration,True
0692e149ed7485f175ad30ad,dependency-00001,dependency_graph,2,33,calibration,True
78b11472f5674e973e4c4f17,dependency-00001,dependency_graph,3,33,calibration,True
7849bdfe4a71d1fd0bf8a45f,iterative-00002,iterative_state_machine,0,34,calibration,True
86296e6c0b54e27eb0ffc7c5,iterative-00002,iterative_state_machine,1,34,calibration,True
dcaaa622780ee454bd9a83db,iterative-00002,iterative_state_machine,2,34,calibration,True
1c3846135b6905e05e4675b9,iterative-00002,iterative_state_machine,3,34,calibration,True
7837d23e481ad0432ae4a655,ontology-00002,fictional_ontology,0,35,calibration,True
f3e43c169c764a0656c78eef,ontology-00002,fictional_ontology,1,35,calibration,True
52fb4cff42ce2345a1f86567,ontology-00002,fictional_ontology,2,35,calibration,True
46c31aa6316bd140c9e2538a,ontology-00002,fictional_ontology,3,35,calibration,True
280427ebed277a9092a537a8,dependency-00002,dependency_graph,0,36,train,True
4519071df96ddf034bf1ef2e,dependency-00002,dependency_graph,1,36,train,True
f6551878cdc2da364ccf8a08,dependency-00002,dependency_graph,2,36,train,True
9493fa9a1a30c2426c84a293,dependency-00002,dependency_graph,3,36,train,True
d99de10874f8d923dd048f3c,iterative-00003,iterative_state_machine,0,37,validation,True
af9a710b8c531ffb68cc82eb,iterative-00003,iterative_state_machine,1,37,validation,True
2e1fd1cb951cf7d72510d00e,iterative-00003,iterative_state_machine,2,37,validation,True
127c2a3353eaee9264085074,iterative-00003,iterative_state_machine,3,37,validation,True
26d3e01e282a228c18ede793,ontology-00003,fictional_ontology,0,38,calibration,True
486e65f884c47e022f821256,ontology-00003,fictional_ontology,1,38,calibration,True
2a27c0af4afe841ba49c0b4b,ontology-00003,fictional_ontology,2,38,calibration,True
3ae7d65cd136e39d8d73ca13,ontology-00003,fictional_ontology,3,38,calibration,True
2909ad00758d69845c59466c,dependency-00003,dependency_graph,0,39,test,True
1e95cec5dd9ea510e7662d55,dependency-00003,dependency_graph,1,39,test,True
6925abf428ee0f7379167cc9,dependency-00003,dependency_graph,2,39,test,True
f0819baac6e5a8f48125f42e,dependency-00003,dependency_graph,3,39,test,True
6050a62d4af70e97de1fcab1,iterative-00004,iterative_state_machine,0,40,calibration,True
fa2a2abf2be0020781211cae,iterative-00004,iterative_state_machine,1,40,calibration,True
1600fd0b41f53799a066c16e,iterative-00004,iterative_state_machine,2,40,calibration,True
64dd9786c062c9e622ceab77,iterative-00004,iterative_state_machine,3,40,calibration,True
eac79a0c8e88daf97b87bc9d,ontology-00004,fictional_ontology,0,41,calibration,True
f9ebec592d7259fd4398374e,ontology-00004,fictional_ontology,1,41,calibration,True
5e78b252123ee86ef41e0bf6,ontology-00004,fictional_ontology,2,41,calibration,True
b4b7829426897733a1b625a7,ontology-00004,fictional_ontology,3,41,calibration,True
dedc8db97691e3e695630f73,dependency-00004,dependency_graph,0,42,calibration,True
3ae2e5bb12d69c3ca6b80e70,dependency-00004,dependency_graph,1,42,calibration,True
f15bbcc9708e6fcf059711f1,dependency-00004,dependency_graph,2,42,calibration,True
ab481a17ef5e73c19008092f,dependency-00004,dependency_graph,3,42,calibration,True
9b0b7ff5c8ed9bd942a5d687,iterative-00005,iterative_state_machine,0,43,calibration,True
bc807ebc10a216d533b4b389,iterative-00005,iterative_state_machine,1,43,calibration,True
18acc013988c2749b1840d72,iterative-00005,iterative_state_machine,2,43,calibration,True
c944837f99aa49b688a8dc56,iterative-00005,iterative_state_machine,3,43,calibration,True
c6f49c270f94eb698dd1a354,ontology-00005,fictional_ontology,0,44,calibration,True
6b14c7c8e18416eee46ced35,ontology-00005,fictional_ontology,1,44,calibration,True
1efe7cb539c42c0738798447,ontology-00005,fictional_ontology,2,44,calibration,True
d9c4a129372d88b5b1f8109b,ontology-00005,fictional_ontology,3,44,calibration,True
e4ddff994071edc6ea7a6834,dependency-00005,dependency_graph,0,28,calibration,True
633ffabbd2f176114ff9d48d,dependency-00005,dependency_graph,1,28,calibration,True
ef4355cb9724a74d49dd9ff6,dependency-00005,dependency_graph,2,28,calibration,True
0d7f90ed8b19fd02acb7cf40,dependency-00005,dependency_graph,3,28,calibration,True
