request_id,problem_id,family,layer,null,draw,e_k,e_total_non_dc,concentration,residual_energy
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,observed,0,17.27045156230806,21.703087449742657,0.7957601240975898,4.432635887434597
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,temporal_shuffle,0,0.7005389627125815,21.703087449742657,0.03227830898874658,21.002548487030076
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,temporal_shuffle,1,1.0504225921289487,21.70308744974266,0.048399684817258745,20.65266485761371
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,temporal_shuffle,2,1.791870892337248,21.703087449742657,0.08256294854299612,19.91121655740541
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,temporal_shuffle,3,0.9369561243296944,21.703087449742657,0.04317155918481102,20.766131325412964
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,phase_randomized,0,17.270451562308057,21.703087449742654,0.7957601240975898,4.432635887434596
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,phase_randomized,1,17.270451562308054,21.70308744974265,0.7957601240975898,4.4326358874345955
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,phase_randomized,2,17.27045156230806,21.703087449742657,0.7957601240975898,4.432635887434596
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,phase_randomized,3,17.270451562308057,21.703087449742654,0.7957601240975898,4.432635887434596
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,gaussian_random_walk,0,37.0980529048837,55.52535138443281,0.6681281969389676,18.427298479549112
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,gaussian_random_walk,1,29.525692598491915,51.19832835809768,0.5766925121457025,21.672635759605765
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,gaussian_random_walk,2,26.912300391737354,43.978945298835356,0.611936011854519,17.066644907098002
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,gaussian_random_walk,3,16.76182782651796,33.671140671317104,0.49780991948385606,16.909312844799146
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,matched_linear_drift,0,2.9179886573396674,18.754789463694568,0.15558631905670262,15.836800806354901
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,matched_linear_drift,1,2.313858593000468,16.337361101792954,0.14162988615992164,14.023502508792486
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,0,matched_linear_drift,2,2.1807195957279526,15.708927890023455,0.13882039633735288,13.528208294295503
