variant_id,problem_id,family,condition,layer,token_count_proxy,sentence_count_proxy,structural_progress,remaining_distance,operation,termination_allowed,confidence,eos_logit,coordinate_1,coordinate_2,radius,raw_angle,phase_reliable,manifold_distance,request_id,operation_planning,operation_calculation,operation_uncertainty,operation_backtracking,operation_checking,operation_consolidation,operation_final_emission
b2d080f60dd6137090ea8fed,iterative-00000,iterative_state_machine,concise,0,26,4,0.0,6,calculation,0,0.55,-1.0029411764705878,-0.8052723273066966,-1.0548409434926835,1.3270843745574274,-2.2228224645932793,True,0.6426321628171155,593f21ecf87d1208142c8598,0,1,0,0,0,0,0
b2d080f60dd6137090ea8fed,iterative-00000,iterative_state_machine,concise,1,26,4,0.0,6,calculation,0,0.55,-1.0029411764705878,-1.5541810845954134,-0.16538087023823952,1.5629554299323232,-3.035581283471258,True,1.1325236577262312,593f21ecf87d1208142c8598,0,1,0,0,0,0,0
b2d080f60dd6137090ea8fed,iterative-00000,iterative_state_machine,concise,2,26,4,0.0,6,calculation,0,0.55,-1.0029411764705878,-1.3407079746198194,-0.5223275759342462,1.4388620398740541,-2.770091752337576,True,1.5194997833952613,593f21ecf87d1208142c8598,0,1,0,0,0,0,0
b2d080f60dd6137090ea8fed,iterative-00000,iterative_state_machine,concise,3,26,4,0.0,6,calculation,0,0.55,-1.0029411764705878,1.3376730060639364,0.6776220733897047,1.4995135029392335,0.46888803462385187,True,0.34139357931875774,593f21ecf87d1208142c8598,0,1,0,0,0,0,0
d6b4ed75e8eca0a966e40b2f,iterative-00000,iterative_state_machine,verbose_paraphrase,0,46,6,0.0,6,checking,0,0.55,-0.8852941176470583,-1.2113948375630674,-1.1333333753127486,1.6588917963725778,-2.389474526838285,True,0.6006594565895454,a5438fe5cf0717d1b00b01c8,0,0,0,0,1,0,0
d6b4ed75e8eca0a966e40b2f,iterative-00000,iterative_state_machine,verbose_paraphrase,1,46,6,0.0,6,checking,0,0.55,-0.8852941176470583,-1.627750626659273,0.12009378564086123,1.6321748129226872,3.0679471031629646,True,1.1006683837308806,a5438fe5cf0717d1b00b01c8,0,0,0,0,1,0,0
d6b4ed75e8eca0a966e40b2f,iterative-00000,iterative_state_machine,verbose_paraphrase,2,46,6,0.0,6,checking,0,0.55,-0.8852941176470583,-1.410118080083644,-0.2686515970819571,1.4354813410119507,-2.953331678314393,True,1.3530316959223063,a5438fe5cf0717d1b00b01c8,0,0,0,0,1,0,0
d6b4ed75e8eca0a966e40b2f,iterative-00000,iterative_state_machine,verbose_paraphrase,3,46,6,0.0,6,checking,0,0.55,-0.8852941176470583,1.1033393866328092,0.9572587679189357,1.46071973727096,0.7146242313585317,True,0.361370228593071,a5438fe5cf0717d1b00b01c8,0,0,0,0,1,0,0
4846b25eede3a020cad44545,iterative-00000,iterative_state_machine,redundant_valid,0,42,6,0.0,6,checking,0,0.55,-0.9088235294117641,-0.8867443567730697,-0.9057817182331533,1.2675788241187562,-2.345574479687101,True,0.5435504925329937,c091705668d8b06b730d4f39,0,0,0,0,1,0,0
4846b25eede3a020cad44545,iterative-00000,iterative_state_machine,redundant_valid,1,42,6,0.0,6,checking,0,0.55,-0.9088235294117641,-1.5132725081019203,-0.07389817536806516,1.5150757816359568,-3.0927980595555695,True,1.1828456450797202,c091705668d8b06b730d4f39,0,0,0,0,1,0,0
