request_id,problem_id,layer,endpoint_distance,method,e_k,e_total_non_dc,concentration,residual_energy
fc700c69a2653e70ca9db867,iterative-00000,0,0.9793167517247895,raw_centered,17.270451562308054,21.70308744974265,0.7957601240975898,4.432635887434597
fc700c69a2653e70ca9db867,iterative-00000,0,0.9793167517247895,linear_detrend,8.970550167907444,14.519552404671003,0.6178255305598525,5.54900223676356
fc700c69a2653e70ca9db867,iterative-00000,0,0.9793167517247895,quadratic_detrend,1.1153393780188916,7.162645211650012,0.15571612791944475,6.04730583363112
fc700c69a2653e70ca9db867,iterative-00000,0,0.9793167517247895,hann_window,10.834859733712028,17.708295365375626,0.6118522144653757,6.873435631663597
fc700c69a2653e70ca9db867,iterative-00000,0,0.9793167517247895,sine_window,13.950027199199917,19.482026127035237,0.7160460163761635,5.5319989278353185
fc700c69a2653e70ca9db867,iterative-00000,0,0.9793167517247895,nonperiodic_dct_k1,8.050402486901657,21.70308744974266,0.37093351374746975,13.652684962841008
fc700c69a2653e70ca9db867,iterative-00000,0,0.9793167517247895,reflected_boundary,16.220671836954565,41.58253589316342,0.39008375724438216,25.36186405620885
070335b9744877b8b99b2c4c,iterative-00000,1,0.9945095980735905,raw_centered,38.72443623638195,44.047233140832496,0.8791570656110922,5.322796904450547
070335b9744877b8b99b2c4c,iterative-00000,1,0.9945095980735905,linear_detrend,20.485821751432248,28.910232984910465,0.7086010604661923,8.424411233478217
070335b9744877b8b99b2c4c,iterative-00000,1,0.9945095980735905,quadratic_detrend,2.597166537136639,12.264707723023191,0.2117593501442568,9.667541185886552
070335b9744877b8b99b2c4c,iterative-00000,1,0.9945095980735905,hann_window,24.8516434635917,36.750534654606206,0.6762253582745323,11.898891191014508
070335b9744877b8b99b2c4c,iterative-00000,1,0.9945095980735905,sine_window,31.60261383602542,40.130891080138,0.787488465504483,8.528277244112576
070335b9744877b8b99b2c4c,iterative-00000,1,0.9945095980735905,nonperiodic_dct_k1,17.153844917232867,44.04723314083251,0.3894420533155117,26.89338822359965
070335b9744877b8b99b2c4c,iterative-00000,1,0.9945095980735905,reflected_boundary,35.219046595503414,84.83898110277366,0.4151281184393195,49.619934507270244
a346ce202bd189fe6f1f08f1,iterative-00000,2,1.1640928250034006,raw_centered,67.98372335127492,75.00497900791268,0.9063894724122641,7.021255656637763
a346ce202bd189fe6f1f08f1,iterative-00000,2,1.1640928250034006,linear_detrend,36.6853913180628,49.820180412849304,0.7363560511836512,13.134789094786507
a346ce202bd189fe6f1f08f1,iterative-00000,2,1.1640928250034006,quadratic_detrend,4.727329903860701,20.443126929320385,0.2312429952719497,15.715797025459683
a346ce202bd189fe6f1f08f1,iterative-00000,2,1.1640928250034006,hann_window,43.96743937104547,62.25979280050899,0.7061931528093044,18.29235342946352
a346ce202bd189fe6f1f08f1,iterative-00000,2,1.1640928250034006,sine_window,55.955635148693574,69.09720723129605,0.8098103728185081,13.141572082602481
a346ce202bd189fe6f1f08f1,iterative-00000,2,1.1640928250034006,nonperiodic_dct_k1,28.780511827194637,75.00497900791271,0.38371468411661597,46.22446718071809
a346ce202bd189fe6f1f08f1,iterative-00000,2,1.1640928250034006,reflected_boundary,59.16075976293055,144.66038584872697,0.4089630994403377,85.49962608579642
a4ecf2db647388928191109e,iterative-00000,3,1.4229357852721058,raw_centered,104.79124103283078,113.20987292867592,0.925636945983068,8.41863189584514
a4ecf2db647388928191109e,iterative-00000,3,1.4229357852721058,linear_detrend,58.332987032147486,76.32623894333963,0.764258632938152,17.993251911192143
a4ecf2db647388928191109e,iterative-00000,3,1.4229357852721058,quadratic_detrend,7.020920432511062,28.537885560872013,0.2460210451659169,21.51696512836095
a4ecf2db647388928191109e,iterative-00000,3,1.4229357852721058,hann_window,67.41381411725882,93.06579889080449,0.7243672210492329,25.651984773545664
a4ecf2db647388928191109e,iterative-00000,3,1.4229357852721058,sine_window,85.37260457601535,102.9164457076867,0.8295331614783794,17.543841131671357
a4ecf2db647388928191109e,iterative-00000,3,1.4229357852721058,nonperiodic_dct_k1,42.29132410486139,113.20987292867596,0.3735656883168273,70.9185488238146
a4ecf2db647388928191109e,iterative-00000,3,1.4229357852721058,reflected_boundary,87.08744780890449,217.47432310113038,0.4004493338204662,130.3868752922259
9cfce6afcc16c70e8b07aaeb,ontology-00000,0,0.8590032347244585,raw_centered,17.656085258429734,22.669480686943153,0.7788482454562374,5.013395428513421
9cfce6afcc16c70e8b07aaeb,ontology-00000,0,0.8590032347244585,linear_detrend,9.47347903358334,15.362206669971359,0.6166743643737871,5.888727636388019
9cfce6afcc16c70e8b07aaeb,ontology-00000,0,0.8590032347244585,quadratic_detrend,1.0092602848152334,7.549047577009709,0.13369372421083833,6.539787292194475
9cfce6afcc16c70e8b07aaeb,ontology-00000,0,0.8590032347244585,hann_window,11.276523893316732,19.026862345836083,0.592663345556002,7.75033845251935
9cfce6afcc16c70e8b07aaeb,ontology-00000,0,0.8590032347244585,sine_window,14.30091582852702,20.726967267765325,0.6899666335058998,6.4260514392383055
9cfce6afcc16c70e8b07aaeb,ontology-00000,0,0.8590032347244585,nonperiodic_dct_k1,8.116472044988729,22.669480686943153,0.35803519970634085,14.553008641954424
9cfce6afcc16c70e8b07aaeb,ontology-00000,0,0.8590032347244585,reflected_boundary,16.44653406926215,43.49328852732633,0.37813958489087307,27.04675445806418
e9f3b658c2ec680cddc518e2,ontology-00000,1,0.9687279109957211,raw_centered,39.49029316604702,46.073862241735846,0.8571083743501511,6.58356907568883
e9f3b658c2ec680cddc518e2,ontology-00000,1,0.9687279109957211,linear_detrend,21.209583314654537,30.38227088058406,0.6980907845242281,9.172687565929522
e9f3b658c2ec680cddc518e2,ontology-00000,1,0.9687279109957211,quadratic_detrend,2.343188309178613,13.187588153512886,0.17768133808109854,10.844399844334273
e9f3b658c2ec680cddc518e2,ontology-00000,1,0.9687279109957211,hann_window,25.390545312766466,38.691706535365924,0.6562270725784191,13.301161222599461
e9f3b658c2ec680cddc518e2,ontology-00000,1,0.9687279109957211,sine_window,32.190133472823334,42.285088967468816,0.7612644139778958,10.094955494645484
