request_id,problem_id,family,split,layer,length,singular_1,singular_2,exclusion_reason,slope,intercept,r2,circular_mae,circular_resultant,eigengap_relative
fc700c69a2653e70ca9db867,iterative-00000,iterative_state_machine,test,0,28,3.067809638981569,2.8033900159057117,,1.0000000000000002,1.863093129650613,1.0,3.0134624954111393e-16,1.0,0.16495432830774232
070335b9744877b8b99b2c4c,iterative-00000,iterative_state_machine,test,1,28,4.579698407470984,4.213169677688009,,1.0000000000000004,-1.74272406524958,1.0,2.0098010557388437e-16,1.0,0.1536614128036359
a346ce202bd189fe6f1f08f1,iterative-00000,iterative_state_machine,test,2,28,5.995734410518132,5.659937475785726,,1.0000000000000002,-1.656727032734801,1.0,2.8152083838709325e-16,1.0,0.10887527548370969
a4ecf2db647388928191109e,iterative-00000,iterative_state_machine,test,3,28,7.371362738373632,7.103115683427067,,1.0000000000000002,-2.037953439082142,1.0,5.038132609515499e-16,1.0,0.0714565953523918
9cfce6afcc16c70e8b07aaeb,ontology-00000,fictional_ontology,calibration,0,29,3.0367356643517898,2.9041903799998434,,0.9999999999999997,2.0394576186030466,1.0,5.359697360259376e-16,1.0,0.08538949543402953
e9f3b658c2ec680cddc518e2,ontology-00000,fictional_ontology,calibration,1,29,4.5393019226438565,4.345691109723378,,1.0,-1.7406418633181722,1.0,1.2699372205168144e-16,1.0,0.08348502088388494
182abc451f6c6fad92751644,ontology-00000,fictional_ontology,calibration,2,29,5.950042046542919,5.748405809925494,,1.0000000000000002,-1.8161626564426658,1.0,1.52177121478793e-16,1.0,0.06662799695925924
baa6f66d049263e44a86098f,ontology-00000,fictional_ontology,calibration,3,29,7.385955760638797,7.1902327154688574,,0.9999999999999997,0.7083951778445016,1.0,2.4884309172632817e-16,1.0,0.05229648929582435
8d9ab915c884decc2b09a822,dependency-00000,dependency_graph,calibration,0,30,3.1161623656196955,2.889946966318184,,0.9999999999999999,1.7622734539081395,1.0,3.774758283725532e-16,1.0,0.13991853289843273
5aed7efb5e48668e7f3f59fd,dependency-00000,dependency_graph,calibration,1,30,4.751920420659706,4.351337593908609,,0.9999999999999997,1.8249679145958067,1.0,3.6267285471088446e-16,1.0,0.1614919434513934
